iter	Passed	Remaining
0	1	141
1	2	140
2	4	134
3	5	120
4	6	117
5	7	114
6	8	113
7	9	110
8	10	107
9	11	104
10	12	101
11	13	99
12	14	96
13	15	94
14	16	93
15	17	92
16	18	91
17	19	91
18	21	89
19	22	88
20	23	87
21	24	85
22	25	84
23	26	83
24	27	82
25	28	81
26	29	80
27	31	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	38	73
34	39	73
35	40	72
36	41	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	63
44	50	62
45	51	60
46	53	59
47	54	58
48	55	57
49	56	56
50	57	54
51	58	53
52	59	52
53	60	51
54	61	50
55	62	49
56	63	48
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	71	38
65	72	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	31
72	80	29
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
